Sl. No.,Name of District,Name of Police Station,Name of Landmark,Name of Location,Lattitude,Longitude,Name of Road,HOSPITAL NEAR LATITUDE,HOSPITAL NEAR LONGITUDE,Accident Severity Index,Type of Road,Number of Fatalities,Sum of Fatal & Grievous Injury Crashes
94,Alappuzha,CHENGANNOOR,Anjalimoodu Junction - Mathews Mar Athanasius Residential Central School,Anjalimoodu Junction,9.301603752,76.62679346,National Highway 183 (NH 183),9.308074274,76.63540218,148,NH,7,40
95,Ernakulam,CITY TRAFFIC EAST,90m after Mumbiath Road Junction - 110m after PHC,Cheranalloor,10.05999702,76.2894803,National Highway 66 (NH 66),10.04607299,76.27775424,147,NH,3,45
96,Ernakulam,Elamakkara,Edapally Cooperative Bank - 40m before Bhima Jewellers,Edapally,10.02677837,76.30597262,National Highway 66 (NH 66),10.02054457,76.30469143,147,NH,3,45
97,Ernakulam,PERUMBAVOOR,Seemas Wedding Collection - Federal Bank,Perumbavoor,10.11511623,76.47261359,State Highway 16 (SH 16),10.11539719,76.47013465,146,SH,5,42
98,Ernakulam,ALUVA,50m before Vellamparambhu Road Junction - 70m after South Indian Bank ATM,Paravoor Junction,10.11535413,76.48120904,National Highway 544 (NH - 544),10.11173015,76.47568064,146,NH,5,42
99,Thiruvananthapuram,City Traffic,Kerala State IT Mission - 60m affter South Indian Bank,Vellayambalam,8.518565147,76.94231008,State Highway 2 (SH 2),8.517198469,76.94019183,146,SH,5,42
100,Ernakulam,KALADI,240m before SBI ATM - Krishi Bhavan,Mattoor,8.537219915,76.94174079,Main Central Road (SH 1),8.538063409,76.92992192,145,SH,4,43
101,Kozhikode,Feroke,70m before Kerala Gramin Bank - 80m before Parammal Road Junction,Ramanattukara,11.17783128,75.86502541,National Highway 66 (NH 66),11.17723979,75.86665256,145,NH,7,39
102,Ernakulam,CITY TRAFFIC WEST,ICICI Bank - Air Arabia,Atlantis Junction,9.955683297,76.29225533,Mahatma Gandhi road,9.953337839,76.29665787,144,SH,3,44
103,Kozhikode,TRAFFIC STATION,50m before Chinmaya Road Junction - 110m after Thondayad Junction,Thondayad,11.26494843,75.8114342,Mavoor Road,11.2690398,75.80931179,144,OR,6,40
104,Ernakulam,CITY TRAFFIC EAST,Kalamassery Metro Station - 110m after SBI Kalmassery,Kalamassery,10.06398448,76.32664555,National Highway 544 (NH - 544),10.05006786,76.31751611,144,NH,6,40
105,Pathanamthitta,Konni,South Indian Bank - Muthoot Finance,Konni,9.230225025,76.84804883,State Highway 8,9.229025701,76.84749809,143,SH,2,45
106,Pathanamthitta,THIRUVALLA,"310m after Mannankarachira Public Library - 210m before ISKCON Sri Krishna
Temple Thiruvalla",Kavumbhagom,9.39050343,76.56221701,Kavumbhagam - Muthoor road,9.38704091,76.57631752,143,OR,2,45
107,Thiruvananthapuram,City Traffic,"Manacaud Junction - 110m after Federal Bank,Manacaud",Manacaud,8.470276505,76.95504442,Trivandrum Vizhinjam Rd,8.466573264,76.95881275,142,OR,4,42
108,Kozhikode,TRAFFIC STATION,Bishop House - Santhi Bhavan BSS Colony,Malaparamba,11.28708135,75.80070134,National Highway 66 Bypass (NH 6,11.28690108,75.79811418,142,NH,8,38
109,Kollam,Kollam Traffic PS,Yes Bank - RP Mall,Kachery Junction,9.39103705,76.57272255,National Highway 66 (NH 66),9.386953643,76.57645484,142,NH,7,38
110,Thiruvananthapuram,CITY TRAFFIC,125m before Junction - IOC Petrol Pump,Vellayani Junction,8.457240286,77.0002281,National Highway 66 (NH 66),8.454520849,76.99995012,141,NH,6,39
111,Kollam,Sakthikulangara PS,Poovanpuzha Devi Temple - Govt School Road Jn,Kureepuzha,8.916468532,76.55913465,National Highway 66 (NH 66),8.92372396,76.55742669,141,NH,9,35
112,Thiruvananthapuram,ATTINGAL,Kalyan Silks - HP Pump,Attingal,8.698742586,76.81365174,National Highway 66 (NH 66),8.700241449,76.81467928,140,NH,2,44
113,Alappuzha,Kayamkulam,250m after ONK Jn - Indus Motors,Kayamkulam,9.170508667,76.49850689,National Highway 66 (NH 66),9.171880952,76.49799884,139,NH,5,41
114,Alappuzha,AMBALAPUZHA,200m after SVD UP School - 200m after BP Pump,Purakkad,9.348211695,76.36766173,National Highway 66 (NH 66),9.385274248,76.37217932,139,NH,5,41
115,Thrissur,Thrissur Town West,Thrissur District Co-Operative Bank- Westfort Jn,West Fort Junction,10.52224902,76.20223456,West Fort Road,10.52462468,76.20189906,139,OR,4,41
116,Thiruvananthapuram,CITY TRAFFIC,Vattiyoorkavu Juma Masjid - Thoppumukku Junction,Vattiyoorkavu Junction,8.524474912,76.98861182,Vattiyoorkavu - Puliyarakonam Ro,8.522530228,76.9794271,139,OR,4,41
117,Kollam,Kottiyam PS,110m after IOC Petrol Pump - Sitara Junction,KIMS Kottiyam,8.866461615,76.66562201,National Highway 66 (NH 66),8.876803449,76.64413189,138,NH,6,38
118,Thiruvananthapuram,Attingal,"Yamuna & Kaveri Theatres - Bharath Petroleum Pump, Mamom",Mamom,8.683519841,76.82439642,National Highway 66 (NH 66),8.695579391,76.81258182,137,NH,5,39
119,Kollam,KUNDARA,St Antony's Shrine - Kundara Railway Station,Mukkada Junction,8.958442858,76.67490391,National Highway 744 (NH 744),8.960042484,76.68165354,137,NH,5,39
120,Malappuram,Thenhipalam,Kalarickaliyettu Durga temple- KINFRA,Kakkanchery,11.15506554,75.89131833,National Highway 66 (NH 66),11.12093998,75.88795778,137,NH,8,35
121,Thrissur,Pudukkad,60 mts after Jancy Raod Jn - SBI ATM Thalore,Thalore,10.45463487,76.25355545,Thrissur - Thalore Road (High Roa,10.45103978,76.24863241,136,SH,8,36
122,Ernakulam,CITY TRAFFIC WEST,Cherukulam Rd Jn - Panchayath Raj Rd Jn,Palluruthy,9.924800146,76.27196327,Aroor - Thoppumpady road,9.930831561,76.27047775,135,SH,0,45
